year,round,type,institute,program,quota,category,gender,orank,crank
2017,7,"IIT","Indian Institute of Technology Mandi","Civil Engineering (4 Years, Bachelor of Technology)","AI","SC","NA",1134,1323
2017,7,"IIT","Indian Institute of Technology Mandi","Civil Engineering (4 Years, Bachelor of Technology)","AI","ST","NA",239,383
2017,7,"IIT","Indian Institute of Technology Mandi","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN","NA",1696,2587
2017,7,"IIT","Indian Institute of Technology Mandi","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","NA",83,83
2017,7,"IIT","Indian Institute of Technology Mandi","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","NA",933,1179
2017,7,"IIT","Indian Institute of Technology Mandi","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","SC","NA",513,662
2017,7,"IIT","Indian Institute of Technology Mandi","Computer Science and Engineering (4 Years, Bachelor of Technology)","AI","ST","NA",122,370
2017,7,"IIT","Indian Institute of Technology Mandi","Electrical Engineering (4 Years, Bachelor of Technology)","AI","OPEN","NA",3774,5261
2017,7,"IIT","Indian Institute of Technology Mandi","Electrical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","NA",1428,2111
2017,7,"IIT","Indian Institute of Technology Mandi","Electrical Engineering (4 Years, Bachelor of Technology)","AI","SC","NA",986,1181
2017,7,"IIT","Indian Institute of Technology Mandi","Electrical Engineering (4 Years, Bachelor of Technology)","AI","ST","NA",381,460
2017,7,"IIT","Indian Institute of Technology Mandi","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","OPEN","NA",3779,6607
2017,7,"IIT","Indian Institute of Technology Mandi","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","OPEN (PwD)","NA",188,188
2017,7,"IIT","Indian Institute of Technology Mandi","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","NA",1910,2364
2017,7,"IIT","Indian Institute of Technology Mandi","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","SC","NA",1034,1281
2017,7,"IIT","Indian Institute of Technology Mandi","Mechanical Engineering (4 Years, Bachelor of Technology)","AI","ST","NA",534,637
2017,7,"IIT","Indian Institute of Technology Delhi","Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN","NA",3058,4245
2017,7,"IIT","Indian Institute of Technology Delhi","Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OPEN (PwD)","NA",129,129
2017,7,"IIT","Indian Institute of Technology Delhi","Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","OBC-NCL","NA",2003,2385
2017,7,"IIT","Indian Institute of Technology Delhi","Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","SC","NA",1373,1559
2017,7,"IIT","Indian Institute of Technology Delhi","Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))","AI","ST","NA",773,773
2017,7,"IIT","Indian Institute of Technology Delhi","Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)","AI","OPEN","NA",2858,3860
2017,7,"IIT","Indian Institute of Technology Delhi","Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)","AI","OBC-NCL","NA",1563,2131
2017,7,"IIT","Indian Institute of Technology Delhi","Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)","AI","SC","NA",1054,1349
